accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1014.3275,537.4704,-62.6256,-4655.0019,43828.7656,92277.5312
-1300.3198,877.6123,-269.0401,-8557.5039,121992.5390,269202.5937
-1622.4118,917.3097,-277.4552,9073.7529,207051.3281,286685.1250
-1043.5366,538.3851,119.2753,11392.5048,219922.5625,286685.1250
-182.8156,305.0788,99.0912,-13308.7548,151138.8125,203253.8125
164.8877,639.2447,-183.1204,17815.0058,58721.2695,39243.7617
-994.0214,-66.6502,212.8783,-4375.0014,-6798.7524,-2073.7504
-994.0214,-66.6502,212.8783,-4375.0014,-6798.7524,-2073.7504
-995.3021,5.7320,262.2104,-11891.2539,-18077.5078,840.0003
-974.2032,-71.4066,148.1794,271.2501,-7271.2519,-3552.5014
-1010.8517,-4.5734,317.2746,1443.7506,7612.5029,-8723.7529
-952.0069,47.9296,245.1363,-11480.0039,743.7503,7411.2524
-856.0866,324.2872,60.7353,-12775.0048,24788.7578,72555.0234
-1201.8995,851.8180,-154.6432,-25191.2597,94018.7812,260732.5937
-1628.3267,730.9573,-316.9698,22750.0097,183680.0625,286685.1250
-1169.8244,706.2608,-26.0381,13247.5048,248762.5781,286685.1250
-233.5502,362.2773,56.1008,33967.5117,194643.8281,259131.3281
226.9645,400.1453,85.9806,-19433.7558,101255.0390,107765.0390
-977.0693,-47.0759,246.2339,-4786.2519,-8400.0029,-997.5003
-977.0693,-47.0759,246.2339,-4786.2519,-8400.0029,-997.5003
-968.8980,-94.8226,210.3781,2966.2509,-9397.5039,4138.7514
-994.4483,-99.8229,201.4142,9931.2529,-1006.2504,218.7501
-960.7268,-17.7449,293.6757,-4060.0012,376.2501,-2441.2507
-915.6633,509.1761,-48.9053,5915.0019,31228.7597,69317.5234
-1246.1704,1027.2550,-270.7475,15732.5068,118518.7968,275178.8750
-1748.9436,597.9007,-187.7548,43190.0156,227088.8281,286685.1250
-917.7975,235.6845,39.8804,20562.5078,209755.0781,286685.1250
