accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-386.0592,840.1710,237.6968,-4418.7514,-76965.0234,119761.2890
-332.0926,938.7134,795.4123,-12013.7539,131057.5390,-55107.5195
-44.8197,56.5887,-38.1120,-113321.2890,69308.7734,-59377.5195
35.6728,87.1392,-99.3961,-113321.2890,69308.7734,-59377.5195
109.2747,570.7650,331.1779,9756.2539,-71190.0234,38158.7656
-383.1321,449.9043,612.2308,70236.2734,-261983.8281,170345.0625
-926.3955,636.9884,846.1470,89433.7812,-286685.1250,263532.5937
-1003.8391,814.4378,1735.1622,55545.0195,-286685.1250,286685.1250
-564.0573,717.5419,1084.2097,-92513.7890,-286685.1250,212100.0781
-136.7153,444.3553,720.8348,-30940.0136,-156380.0625,59018.7695
-14.1472,596.1934,1228.8521,-3010.0009,55667.5195,-28472.5117
-32.3190,-162.0216,-52.5640,-34615.0117,7271.2519,-22618.7578
-32.3190,-162.0216,-52.5640,-34615.0117,7271.2519,-22618.7578
142.6912,273.1257,683.6984,76230.0312,-111037.5390,47530.0156
-554.5446,-73.5409,1228.7912,57312.5195,-286685.1250,143963.7968
-1098.1130,362.0333,1566.6768,50986.2695,-286685.1250,192561.3281
-1109.5771,721.2617,1891.8786,130095.0546,-286685.1250,275887.5937
-623.3901,-86.4075,1281.3553,48081.2656,-286685.1250,241920.0937
-143.3010,-250.1365,1147.1401,61556.2773,-27545.0097,23327.5097
-525.8844,253.4294,-15.0009,-35743.7617,151856.3125,-30756.2636
-458.6853,216.2931,-38.1120,-57058.7695,145302.5625,-24298.7578
-7.8053,273.4306,-145.0695,-30152.5097,66018.7656,30082.5136
-84.1513,323.0677,226.9035,19162.5078,-44362.5156,85426.2890
-38.8437,320.2016,355.6306,-43058.7656,-176417.5625,131985.0468
-532.8970,1157.8114,1091.8319,-42875.0156,-286685.1250,215705.0781
-1407.3992,1428.1932,1614.5455,-51703.7695,-286685.1250,286685.1250
-917.7365,1043.7805,811.4498,-68582.5312,-286685.1250,224901.3281
-340.8126,964.9345,582.2901,-743.7503,-78067.5234,66430.0312
-140.6790,783.9483,1135.4321,2940.0009,99470.0390,-15618.7548
-112.0187,70.9188,-141.9595,-45876.2656,38395.0156,-42988.7656
26.5869,161.5338,-68.5406,-59395.0195,30021.2597,-36907.5156
141.1058,409.4751,184.8279,75468.7734,-76090.0312,40600.0156
-322.2139,461.4904,816.9379,50933.7656,-286518.8437,174597.5625
-1049.6343,808.9497,1230.9256,33897.5156,-286685.1250,266455.0937
-1011.5225,632.0491,1735.5891,41623.7656,-286685.1250,285608.8750
-318.2503,488.5651,959.2024,-72747.5234,-253715.0937,149966.2968
-72.6262,519.4206,1089.6367,29776.2617,-63105.0234,32803.7617
76.9557,675.2834,1304.6492,-30992.5097,13825.0048,-7061.2524
-79.6388,-11.4641,112.2017,4952.5019,58756.2734,-31823.7617
-79.6388,-11.4641,112.2017,4952.5019,58756.2734,-31823.7617
106.9575,60.4913,325.7507,-11515.0039,-64058.7773,54643.7656
-284.1629,70.3700,993.4117,80263.7812,-256523.8593,184345.0781
-1042.3779,497.5901,1305.5029,28376.2617,-286685.1250,272527.5937
-1347.3956,820.9016,1425.1441,-6536.2524,-286685.1250,286685.1250
-732.6647,462.9539,1109.7600,-75031.2812,-286685.1250,210411.3437
-62.5646,268.0644,1011.2786,38788.7656,-79590.0312,51126.2695
-30.6725,134.9469,-70.7358,822.5003,78942.5312,13606.2548
49.6980,254.0392,113.7262,-25313.7597,67672.5234,17753.7558
311.7865,209.2195,20.8549,39200.0156,-25882.5097,64758.7773
-85.7977,794.6196,758.6419,-99085.0390,-223938.8281,174973.7968
-1171.8367,1554.2371,1296.3562,-90063.7812,-286685.1250,281618.8437
-1313.0644,1433.0104,1383.6783,-35533.7617,-286685.1250,286685.1250
