accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1018.6571,-51.9542,43.8440,-96.2500,-350.0001,-1155.0003
-1016.9496,-55.0642,46.8930,-87.5000,-560.0003,-1417.5004
-1017.8033,-52.8080,44.8197,-113.7500,-122.5000,-1181.2503
-1017.4985,-54.0275,46.5881,-52.5000,-393.7502,-1330.0004
-1017.4375,-53.0519,44.8197,-140.0001,446.2502,-665.0003
-1017.2545,-53.8446,46.9540,-87.5000,-245.0001,-1137.5004
-1019.5107,-54.2715,44.8807,-131.2500,315.0001,-743.7503
-1018.6571,-52.3811,45.3685,-122.5000,-472.5002,-1487.5006
-1018.2302,-55.0032,45.7344,-70.0000,-603.7502,-1338.7504
-1017.0106,-53.6007,46.3442,-113.7500,586.2503,-595.0003
-1019.8767,-50.0639,40.6731,-96.2500,-332.5001,-1286.2504
-1017.2545,-54.3934,46.7710,-96.2500,-1627.5006,-2791.2512
-1014.9373,-59.1498,53.3568,-52.5000,1277.5004,831.2503
-1022.9257,-45.1856,36.1606,-166.2501,2056.2507,542.5002
-1021.3401,-49.3931,40.8560,-35.0000,-2406.2509,-3141.2509
-1015.2422,-57.0155,48.9663,-131.2500,-78.7500,-936.2504
-1019.5107,-53.7836,42.9293,-140.0001,472.5002,-586.2503
-1020.3645,-51.2835,41.9537,-131.2500,-455.0002,-1557.5006
-1016.4008,-56.2838,47.5028,-87.5000,-437.5002,-1155.0003
-1018.7180,-53.4787,45.6734,-96.2500,1015.0003,-140.0001
-1018.4132,-52.0762,43.1123,-96.2500,-350.0001,-1382.5004
-1018.0473,-55.6130,46.2222,-96.2500,-717.5003,-1645.0006
-1018.2302,-53.1738,46.5881,-78.7500,-358.7501,-1356.2504
-1017.6813,-54.9422,46.5881,-96.2500,-280.0001,-1330.0004
-1016.6447,-54.6373,48.2345,-105.0000,297.5001,-595.0003
-1020.5474,-53.9056,43.5391,-52.5000,-140.0001,-1006.2504
-1019.6937,-54.2105,45.7344,-105.0000,-577.5002,-1531.2504
-1017.3765,-56.9545,48.8443,-140.0001,-43.7500,-1207.5003
-1018.1082,-51.8323,45.9783,-105.0000,866.2503,8.7500
-1020.4254,-50.9176,42.3805,-78.7500,-1102.5003,-1986.2507
-1015.6691,-60.9182,50.8566,-96.2500,-1093.7503,-1898.7506
-1016.8277,-58.1131,48.3565,-122.5000,1163.7504,35.0000
-1018.6571,-53.9056,45.7344,-96.2500,-315.0001,-1198.7503
-1016.4008,-55.6130,46.5271,-113.7500,192.5001,-656.2502
-1019.2058,-53.0519,43.4781,-148.7501,-743.7503,-1811.2507
-1015.4861,-60.4304,51.8933,-105.0000,-533.7502,-1478.7504
-1018.5350,-54.3324,48.1735,-96.2500,1942.5004,848.7503
-1021.4010,-51.5884,39.0876,-78.7500,560.0003,-691.2503
-1018.8400,-52.0152,43.2342,-61.2500,-2143.7509,-2983.7509
-1012.4372,-60.1255,53.1129,-87.5000,-1006.2504,-1881.2508
